8000	13000	1	4	1	1	6500	147	1	2	4000
25000	13000	3	2	2	2	6500	2	225	1	2000
40000	13000	2	4	1	2	6500	2	245	1	2000
55000	13000	3	4	1	3	6500	301	3	2	4000
72000	13000	4	1	1	4	6500	4	421	1	2000
87000	13000	4	3	2	3	6500	334	3	2	4000
104000	13000	1	2	1	1	6500	1	139	1	2000
119000	13000	1	3	2	3	6500	324	3	2	2000
134000	13000	3	1	2	1	6500	1	134	1	2000
149000	13000	1	3	1	1	6500	1	109	1	2000
164000	13000	1	4	1	1	6500	1	144	1	2000
179000	13000	4	1	1	4	6500	444	4	2	4000
196000	13000	2	3	2	3	6500	3	306	1	2000
211000	13000	3	1	2	1	6500	129	1	2	2000
226000	13000	4	2	2	2	6500	2	208	1	2000
241000	13000	4	1	2	1	6500	1	125	1	4000
258000	13000	4	3	1	4	6500	450	4	2	4000
275000	13000	4	3	2	3	6500	3	303	1	4000
292000	13000	3	1	1	3	6500	344	3	2	4000
309000	13000	2	4	2	4	6500	4	407	1	2000
324000	13000	3	2	2	2	6500	243	2	2	4000
341000	13000	3	2	1	3	6500	350	3	2	4000
358000	13000	3	4	2	4	6500	437	4	2	2000
373000	13000	1	2	1	1	6500	143	1	2	4000
390000	13000	2	1	2	1	6500	1	105	1	4000
407000	13000	2	1	2	1	6500	112	1	2	2000
422000	13000	2	3	1	2	6500	230	2	2	2000
437000	13000	2	3	1	2	6500	2	226	1	4000
454000	13000	2	1	1	2	6500	2	250	1	4000
471000	13000	1	3	1	1	6500	129	1	2	2000
486000	13000	4	2	1	4	6500	431	4	2	4000
503000	13000	2	3	2	3	6500	325	3	2	2000
518000	13000	3	2	1	3	6500	3	308	1	2000
533000	13000	3	4	1	3	6500	3	310	1	2000
548000	13000	4	1	2	1	6500	130	1	2	2000
563000	13000	1	4	2	4	6500	4	427	1	4000
580000	13000	4	2	2	2	6500	213	2	2	2000
595000	13000	2	1	1	2	6500	235	2	2	2000
610000	13000	2	4	1	2	6500	241	2	2	4000
627000	13000	1	3	2	3	6500	3	316	1	4000
644000	13000	4	2	1	4	6500	4	438	1	4000
661000	13000	1	2	2	2	6500	227	2	2	2000
676000	13000	3	1	1	3	6500	3	330	1	4000
693000	13000	4	3	1	4	6500	4	442	1	4000
710000	13000	3	4	2	4	6500	4	410	1	4000
727000	13000	1	2	2	2	6500	2	240	1	4000
744000	13000	1	4	2	4	6500	441	4	2	4000
761000	13000	2	4	2	4	6500	446	4	2	2000
