6.666666666666666297e-01,6.180555555555555802e-01
5.763888888888888395e-01,6.597222222222222099e-01
5.555555555555555802e-01,5.069444444444444198e-01
5.771812080536913303e-01,5.578231292517006334e-01
7.847222222222222099e-01,7.291666666666666297e-01
6.458333333333333703e-01,6.180555555555555802e-01
6.736111111111111605e-01,6.319444444444444198e-01
6.319444444444444198e-01,7.013888888888888395e-01
6.180555555555555802e-01,6.527777777777777901e-01
6.319444444444444198e-01,6.666666666666666297e-01
6.319444444444444198e-01,5.555555555555555802e-01
5.879120879120879328e-01,5.524861878453038999e-01
7.013888888888888395e-01,7.361111111111111605e-01
6.597222222222222099e-01,6.805555555555555802e-01
5.694444444444444198e-01,6.250000000000000000e-01
